Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status"
-,-,2240-JKC9025SPBK-ND,JKC9025SPBK,"Transforming Technologies, LlC",ESD JACKET SNAP CUFF XL BLACK,0,0,"Active","0","0","-","*","Active"
-,-,2240-MT4524GY-ND,MT4524GY,"Transforming Technologies, LlC",2LYR ESD TBL MAT 24""X50' GRAY,0,0,"Active","0","0","-","*","Active"
-,-,2240-GL4503T-ND,GL4503T,"Transforming Technologies, LlC",MEDM ESD NYLON GLOVE FINGER CTD,0,0,"Active","0","0","-","*","Active"
-,-,2240-GL4503P-ND,GL4503P,"Transforming Technologies, LlC",MEDIUM ESD NYLON GLOVES PALM CTD,0,0,"Active","0","0","-","*","Active"
-,-,2240-GL2502T-ND,GL2502T,"Transforming Technologies, LlC",SM ESD CUT RES GLOVES FINGER CTD,0,0,"Active","0","0","-","*","Active"
-,-,2240-CP4070-ND,CP4070,"Transforming Technologies, LlC",METAL BENCH MOUNT GROUND CORD,0,0,"Active","0","0","-","*","Active"
-,-,2240-GL4502P-ND,GL4502P,"Transforming Technologies, LlC",SMALL ESD NYLON GLOVES PALM CTD,0,0,"Active","0","0","-","*","Active"
-,-,2240-WBAS28-ND,WBAS28,"Transforming Technologies, LlC",CONDUCTIVE WASTE BSKT 7GAL BLK,0,0,"Active","0","0","-","*","Active"
-,-,2240-MT4548GY-ND,MT4548GY,"Transforming Technologies, LlC",2LYR ESD TBL MAT 48""X50' GRAY,0,0,"Active","0","0","-","*","Active"
-,-,2240-JKC9029SPLB-ND,JKC9029SPLB,"Transforming Technologies, LlC",ESD JACKET SNAP CUFF 5XL LT BLUE,0,0,"Active","0","0","-","*","Active"
-,-,2240-MT4536GY-ND,MT4536GY,"Transforming Technologies, LlC",2LYR ESD TBL MAT 36""X50' GRAY,0,0,"Active","0","0","-","*","Active"
-,-,2240-JKC9029SPMR-ND,JKC9029SPMR,"Transforming Technologies, LlC",ESD JACKET SNAP CUFF 5XL MAROON,0,0,"Active","0","0","-","*","Active"
-,-,2240-GL4503-ND,GL4503,"Transforming Technologies, LlC",MEDIUM ESD NYLON GLOVES UNCTD,0,0,"Active","0","0","-","*","Active"
-,-,2240-CP2522-ND,CP2522,"Transforming Technologies, LlC",LOW PRFL CMN GND CORD10MM MALE,0,0,"Active","0","0","-","*","Active"
-,-,2240-JKC9028SPWH-ND,JKC9028SPWH,"Transforming Technologies, LlC",ESD JACKET SNAP CUFF 4XL WHITE,0,0,"Active","0","0","-","*","Active"
-,-,2240-MT3648GY-ND,MT3648GY,"Transforming Technologies, LlC",2LYR ESD TABLE MAT 36""X48"" GRAY,0,0,"Active","0","0","-","*","Active"
-,-,2240-GL2502-ND,GL2502,"Transforming Technologies, LlC",SM ESD CUT RES GLOVES UNCTD,0,0,"-","0","0","-","*","-"
-,-,2240-JKC9027SPWH-ND,JKC9027SPWH,"Transforming Technologies, LlC",ESD JACKET SNAP CUFF 3XL WHITE,0,0,"Active","0","0","-","*","Active"
-,-,2240-JKC9028SPOR-ND,JKC9028SPOR,"Transforming Technologies, LlC",ESD JACKET SNAP CUFF 4XL ORANGE,0,0,"Active","0","0","-","*","Active"
-,-,2240-7100.SRM110-ND,7100.SRM110,"Transforming Technologies, LlC",POCKET SURFACE RESISTANCE METER,0,0,"Active","0","0","-","*","Active"
-,-,2240-MT3648RB-ND,MT3648RB,"Transforming Technologies, LlC",2LYR ESD TBL MAT 36""X48"" RYL BL,0,0,"Active","0","0","-","*","Active"
-,-,2240-GL4505P-ND,GL4505P,"Transforming Technologies, LlC",XL ESD NYLON GLOVES PALM CTD,0,0,"Active","0","0","-","*","Active"
-,-,2240-JKC9024SPOR-ND,JKC9024SPOR,"Transforming Technologies, LlC",ESD JACKET SNAP CUFF L ORANGE,0,0,"Active","0","0","-","*","Active"
-,-,2240-WB6037-ND,WB6037,"Transforming Technologies, LlC",ONE WIRE MTL WRIST STRAP 6? CORD,0,0,"Active","0","0","-","*","Active"
-,-,2240-JKC9021SPOR-ND,JKC9021SPOR,"Transforming Technologies, LlC",ESD JACKET SNAP CUFF XS ORANGE,0,0,"Active","0","0","-","*","Active"
-,-,2240-JKC9029SPWH-ND,JKC9029SPWH,"Transforming Technologies, LlC",ESD JACKET SNAP CUFF 5XL WHITE,0,0,"Active","0","0","-","*","Active"
-,-,2240-JKC9022SPBK-ND,JKC9022SPBK,"Transforming Technologies, LlC",ESD JACKET SNAP CUFF S BLACK,0,0,"Active","0","0","-","*","Active"
-,-,2240-JKC9023SPWH-ND,JKC9023SPWH,"Transforming Technologies, LlC",ESD JACKET SNAP CUFF M WHITE,0,0,"Active","0","0","-","*","Active"
-,-,2240-MT3672GN-ND,MT3672GN,"Transforming Technologies, LlC",2LYR ESD TABLE MAT 36""X72"" GREEN,0,0,"Active","0","0","-","*","Active"
-,-,2240-JKC9022SPOR-ND,JKC9022SPOR,"Transforming Technologies, LlC",ESD JACKET SNAP CUFF S ORANGE,0,0,"Active","0","0","-","*","Active"
-,-,2240-GL4501-ND,GL4501,"Transforming Technologies, LlC",XSMALL ESD NYLON GLOVES UNCTD,0,0,"Active","0","0","-","*","Active"
-,-,2240-CM420-ND,CM420,"Transforming Technologies, LlC",CM420 PERIODIC VERIFICATION TOOL,0,0,"Active","0","0","-","*","Active"
-,-,2240-JKC9022SPWH-ND,JKC9022SPWH,"Transforming Technologies, LlC",ESD JACKET SNAP CUFF S WHITE,0,0,"Active","0","0","-","*","Active"
-,-,2240-MT2436RB-ND,MT2436RB,"Transforming Technologies, LlC",2LYR ESD TBL MAT 24""X36"" RYL BL,0,0,"Active","0","0","-","*","Active"
-,-,2240-FM62436BK-ND,FM62436BK,"Transforming Technologies, LlC",ESD ANTI-FATIGUE MAT 2? X 3?,0,0,"Active","0","0","-","*","Active"
-,-,2240-JKC9026SPWH-ND,JKC9026SPWH,"Transforming Technologies, LlC",ESD JACKET SNAP CUFF 2XL WHITE,0,0,"Active","0","0","-","*","Active"
-,-,2240-GL2503P-ND,GL2503P,"Transforming Technologies, LlC",MED ESD CUT RES GLOVES PALM CTD,0,0,"Active","0","0","-","*","Active"
-,-,2240-JKC9029SPOR-ND,JKC9029SPOR,"Transforming Technologies, LlC",ESD JACKET SNAP CUFF 5XL ORANGE,0,0,"Active","0","0","-","*","Active"
-,-,2240-JKC9024SPTL-ND,JKC9024SPTL,"Transforming Technologies, LlC",ESD JACKET SNAP CUFF L TEAL,0,0,"Active","0","0","-","*","Active"
-,-,2240-JKC9023SPGN-ND,JKC9023SPGN,"Transforming Technologies, LlC",ESD JACKET SNAP CUFF M YLW-GRN,0,0,"Active","0","0","-","*","Active"
-,-,2240-GL2503-ND,GL2503,"Transforming Technologies, LlC",MED ESD CUT RES GLOVES UNCTD,0,0,"Active","0","0","-","*","Active"
-,-,2240-GL4501T-ND,GL4501T,"Transforming Technologies, LlC",XSML ESD NYLON GLOVES FINGER CTD,0,0,"Active","0","0","-","*","Active"
-,-,2240-WBAS180-ND,WBAS180,"Transforming Technologies, LlC",CONDUCTIVE WASTE BSKT 44 GAL BLK,0,0,"Active","0","0","-","*","Active"
-,-,2240-JKC9028SPTL-ND,JKC9028SPTL,"Transforming Technologies, LlC",ESD JACKET SNAP CUFF 4XL TEAL,0,0,"Active","0","0","-","*","Active"
-,-,2240-WBAS22LB-ND,WBAS22LB,"Transforming Technologies, LlC",CONDUCTIVE WASTE LINER 22GAL BLK,0,0,"Active","0","0","-","*","Active"
-,-,2240-JKC9021SPLB-ND,JKC9021SPLB,"Transforming Technologies, LlC",ESD JACKET SNAP CUFF XS LT BLUE,0,0,"Active","0","0","-","*","Active"
-,-,2240-GL2501T-ND,GL2501T,"Transforming Technologies, LlC",XSM ESD CUT RES GLOVE FINGER CTD,0,0,"Active","0","0","-","*","Active"
-,-,2240-JKC9022SPMR-ND,JKC9022SPMR,"Transforming Technologies, LlC",ESD JACKET SNAP CUFF S MAROON,0,0,"Active","0","0","-","*","Active"
-,-,2240-WB1637-ND,WB1637,"Transforming Technologies, LlC",WRIST STRAP CURVED BKL 6? CORD,0,0,"Active","0","0","-","*","Active"
-,-,2240-JKC9028SPLB-ND,JKC9028SPLB,"Transforming Technologies, LlC",ESD JACKET SNAP CUFF 4XL LT BLUE,0,0,"Active","0","0","-","*","Active"
-,-,2240-JKC9026SPMR-ND,JKC9026SPMR,"Transforming Technologies, LlC",ESD JACKET SNAP CUFF 2XL MAROON,0,0,"Active","0","0","-","*","Active"
-,-,2240-GL2505-ND,GL2505,"Transforming Technologies, LlC",XL ESD CUT RES GLOVES UNCTD,0,0,"Active","0","0","-","*","Active"
-,-,2240-WBASLP-ND,WBASLP,"Transforming Technologies, LlC",DISSIPATIVE BASKET LNR 7GAL PNK,0,0,"Active","0","0","-","*","Active"
-,-,2240-GL4504P-ND,GL4504P,"Transforming Technologies, LlC",LARGE ESD NYLON GLOVES PALM CTD,0,0,"Active","0","0","-","*","Active"
-,-,2240-WB5050S-ND,WB5050S,"Transforming Technologies, LlC",DL CNDCTR WRIST STRAP 5? CORD  S,0,0,"Active","0","0","-","*","Active"
-,-,2240-JKC9024SPWH-ND,JKC9024SPWH,"Transforming Technologies, LlC",ESD JACKET SNAP CUFF L WHITE,0,0,"Active","0","0","-","*","Active"
-,-,2240-JKC9025SPMR-ND,JKC9025SPMR,"Transforming Technologies, LlC",ESD JACKET SNAP CUFF XL MAROON,0,0,"Active","0","0","-","*","Active"
-,-,2240-JKC9024SPLB-ND,JKC9024SPLB,"Transforming Technologies, LlC",ESD JACKET SNAP CUFF L LT BLUE,0,0,"Active","0","0","-","*","Active"
-,-,2240-GL2501-ND,GL2501,"Transforming Technologies, LlC",XSM ESD CUT RES GLOVES UNCTD,0,0,"Active","0","0","-","*","Active"
-,-,2240-7100.SRM200.K-ND,7100.SRM200.K,"Transforming Technologies, LlC",POCKET DGTL SURFACE RES TEST KIT,0,0,"Active","0","0","-","*","Active"
-,-,2240-JKC9029SPBK-ND,JKC9029SPBK,"Transforming Technologies, LlC",ESD JACKET SNAP CUFF 5XL BLACK,0,0,"Active","0","0","-","*","Active"
-,-,2240-GL4506P-ND,GL4506P,"Transforming Technologies, LlC",2XL ESD NYLON GLOVES PALM COATED,0,0,"Active","0","0","-","*","Active"
